priority_profile,prioridad,a816,prioridad_garantizada,a811,num_prio,num_vul,tramo
6397,1,1,1,1,4,0,50
6396,1,1,1,1,4,0,60
6395,1,1,1,1,4,0,70
6394,1,1,1,1,4,0,80
6393,1,1,1,1,4,0,90
6392,1,1,1,1,4,0,100
6391,1,1,1,1,4,0,101
6390,1,1,1,1,3,9,0
6389,1,1,1,1,3,9,40
6388,1,1,1,1,3,9,50
6387,1,1,1,1,3,9,60
6386,1,1,1,1,3,9,70
6385,1,1,1,1,3,9,80
6384,1,1,1,1,3,9,90
6383,1,1,1,1,3,9,100
6382,1,1,1,1,3,9,101
6381,1,1,1,1,3,8,0
6380,1,1,1,1,3,8,40
6379,1,1,1,1,3,8,50
6378,1,1,1,1,3,8,60
6377,1,1,1,1,3,8,70
6376,1,1,1,1,3,8,80
6375,1,1,1,1,3,8,90
6374,1,1,1,1,3,8,100
6373,1,1,1,1,3,8,101
6372,1,1,1,1,3,7,0
6371,1,1,1,1,3,7,40
6370,1,1,1,1,3,7,50
6369,1,1,1,1,3,7,60
6368,1,1,1,1,3,7,70
6367,1,1,1,1,3,7,80
6366,1,1,1,1,3,7,90
6365,1,1,1,1,3,7,100
6364,1,1,1,1,3,7,101
6363,1,1,1,1,3,6,0
6362,1,1,1,1,3,6,40
6361,1,1,1,1,3,6,50
6360,1,1,1,1,3,6,60
6359,1,1,1,1,3,6,70
6358,1,1,1,1,3,6,80
6357,1,1,1,1,3,6,90
6356,1,1,1,1,3,6,100
6355,1,1,1,1,3,6,101
6354,1,1,1,1,3,5,0
6353,1,1,1,1,3,5,40
6352,1,1,1,1,3,5,50
6351,1,1,1,1,3,5,60
6350,1,1,1,1,3,5,70
6349,1,1,1,1,3,5,80
6348,1,1,1,1,3,5,90
6347,1,1,1,1,3,5,100
6346,1,1,1,1,3,5,101
6345,1,1,1,1,3,4,0
6344,1,1,1,1,3,4,40
6343,1,1,1,1,3,4,50
6342,1,1,1,1,3,4,60
6341,1,1,1,1,3,4,70
6340,1,1,1,1,3,4,80
6339,1,1,1,1,3,4,90
6338,1,1,1,1,3,4,100
6337,1,1,1,1,3,4,101
6336,1,1,1,1,3,3,0
6335,1,1,1,1,3,3,40
6334,1,1,1,1,3,3,50
6333,1,1,1,1,3,3,60
6332,1,1,1,1,3,3,70
6331,1,1,1,1,3,3,80
6330,1,1,1,1,3,3,90
6329,1,1,1,1,3,3,100
