iter,applicant_id,program_id,quota_id,ranking,score
1,27503464,4867,1,1,14.12985
1,27503505,7221,1,1,26045.43058
1,27503538,5786,1,1,26036.11614
1,27503653,6774,1,1,26036.63678
1,27503682,2059,1,1,26027.64779
1,27503940,2941,1,1,26054.43703
1,27503945,1297,1,1,27737.05983
1,27504168,5681,1,1,26026.32128
1,27504186,6215,1,1,26027.26394
1,27504207,3873,1,1,26045.12523
1,27504227,640,1,1,27642.29802
1,27504418,6585,1,1,26027.13255
1,27504463,2183,1,1,26027.60271
1,27504484,2489,1,1,26025.36756
1,27504504,5756,1,1,26011.0943
1,27504554,1679,1,1,12.35188
1,27504640,226,1,1,26018.12692
1,27504650,3360,1,1,26036.23175
1,27504795,1827,1,1,19466.45612
1,27504843,3216,1,1,26036.56275
1,27504860,5597,1,1,26027.1934
1,27504898,2844,1,1,26036.17923
1,27504952,5355,1,1,26027.13559
1,27504954,6618,1,1,26018.66186
1,27505044,7136,1,1,26044.44966
1,27505134,3188,1,1,26045.09944
1,27505200,5677,1,1,26045.05594
1,27505223,1200,1,1,26045.02081
1,27505239,5300,1,1,26027.62092
1,27505263,1855,1,1,26027.58448
1,27505272,5339,1,1,26027.04837
1,27505282,192,1,1,26044.108
1,27505305,322,1,1,26144.56948
1,27505388,4864,1,1,26052.14821
1,27505402,4075,1,1,26036.34018
1,27505425,1788,1,1,26027.09595
1,27505455,5271,1,1,26036.21207
1,27505459,5510,1,1,26054.0297
1,27505524,6840,1,1,27640.11684
1,27505718,1445,1,1,22.61167
1,27505721,1057,1,1,26027.1363
1,27505824,2993,1,1,26061.63272
1,27505947,4836,1,1,26027.64239
1,27506064,6167,1,1,26036.64726
1,27506160,4972,1,1,26027.04691
1,27506169,6618,1,1,26018.63991
1,27506201,6632,1,1,26027.10981
1,27506346,2302,1,1,26036.19016
1,27506566,5550,1,1,26027.49183
1,27506650,237,1,1,26117.16353
1,27506700,5950,1,1,26027.27647
1,27506715,5993,1,1,26044.03669
1,27507022,5015,1,1,26038.24933
1,27507110,7425,1,1,26035.06316
1,27507115,4833,1,1,26036.4146
1,27507296,2380,1,1,26027.64631
1,27507304,5868,1,1,26018.10186
1,27507398,3057,1,1,26045.31156
1,27507419,4858,1,1,26027.62633
1,27507421,686,1,1,26016.33068
1,27507426,6347,1,1,26045.03189
1,27507427,4456,1,1,14.53368
1,27507451,7385,1,1,26027.01458
1,27507488,1234,1,1,26026.55227
1,27507617,3707,1,1,12.01098
1,27507659,7266,1,1,26027.6391
1,27507738,5405,1,1,26027.20977
1,27507804,590,1,1,26036.59302
1,27507832,1436,1,1,22.48965
1,27508035,6043,1,1,26036.52595
1,27508110,7583,1,1,26027.22006
1,27508163,721,1,1,26126.15846
1,27508273,6976,1,1,26027.44283
1,27508411,238,1,1,26027.32254
1,27508696,3495,1,1,26027.05624
1,27508731,1163,1,1,26036.66433
1,27508743,7739,1,1,26045.46484
1,27508933,3528,1,1,26025.61005
1,27508938,6200,1,1,26027.02148
1,27509092,4647,1,1,26035.41444
1,27509112,6580,1,1,26036.41816
1,27509116,1433,1,1,26018.54044
1,27509268,2044,1,1,26027.46471
1,27509313,6702,1,1,26045.46438
1,27509491,2064,1,1,26027.55005
1,27509517,6001,1,1,13.52871
1,27509533,6632,1,1,26045.21014
1,27509609,4864,1,1,26045.01974
1,27509635,3254,1,1,26018.39819
1,27509741,491,1,1,22.09908
1,27510005,1726,1,1,26025.5206
1,27510007,6501,1,1,26025.03584
1,27510062,4255,1,1,26053.60317
1,27510066,7291,1,1,26036.32711
1,27510104,5427,1,1,26018.29123
1,27510145,5977,1,1,26045.33136
1,27510192,5382,1,1,26036.46788
1,27510203,5811,1,1,26036.65193
1,27510319,4932,1,1,26027.07017
1,27510321,3850,1,1,26018.11443
1,27510348,4849,1,1,26036.0654
1,27510452,5437,1,1,26027.02512
1,27510471,399,1,1,26027.26513
1,27510527,3439,1,1,26045.59023
1,27510554,272,1,1,29483.42814
1,27510589,624,1,1,26027.06094
1,27510590,272,1,1,29483.53973
1,27510761,6001,1,1,26053.46557
1,27510916,6236,1,1,26153.02061
1,27511092,1332,1,1,27746.42774
1,27511151,5405,1,1,26045.32057
1,27511297,7749,1,1,26036.46018
1,27511395,1498,1,1,26133.28183
1,27511474,3021,1,1,26027.62984
1,27511491,1664,1,1,26027.11069
1,27511536,4856,1,1,26027.17403
1,27511661,6019,1,1,26045.24509
1,27511694,6735,1,1,26027.57215
1,27511741,1808,1,1,26017.59537
1,27511793,5616,1,1,26036.44729
1,27511850,1726,1,1,19466.07417
1,27512134,2941,1,1,26027.52427
1,27512146,1095,1,1,26027.53726
1,27512248,7666,1,1,26027.66088
1,27512474,5756,1,1,26135.12978
1,27512556,5907,1,1,26027.14626
1,27512557,5803,1,1,26026.42066
1,27512665,6070,1,1,26018.00509
1,27512707,4771,1,1,26126.44934
1,27512838,4821,1,1,26054.28622
1,27512939,2878,1,1,26135.18103
1,27512990,4858,1,1,26027.43912
1,27513109,4387,1,1,26036.43244
1,27513223,234,1,1,13.13425
1,27513276,1645,1,1,26017.12324
1,27513411,2015,1,1,26034.64752
1,27513550,2183,1,1,26027.25852
1,27513633,5506,1,1,26027.6741
1,27513816,1477,1,1,32.49978
1,27513881,1462,1,1,26018.66947
1,27514082,6501,1,1,14.49729
1,27514250,7672,1,1,26017.54462
1,27514289,1856,1,1,10.57118
1,27514305,5676,1,1,26036.57728
1,27514438,3226,1,1,26027.6529
1,27514608,554,1,1,29353.56756
1,27514635,2548,1,1,26036.29047
1,27514643,6959,1,1,26126.32593
1,27514659,6130,1,1,26045.25366
1,27514674,4843,1,1,26017.07046
1,27514709,1174,1,1,26036.01138
1,27514741,4746,1,1,26025.15454
1,27514762,1739,1,1,26045.01186
1,27514801,7558,1,1,26036.25254
1,27514828,3486,1,1,26036.08304
1,27514865,6070,1,1,26027.54243
1,27515013,5740,1,1,26045.49028
1,27515068,2570,1,1,26027.43681
1,27515080,5367,1,1,26036.3929
1,27515097,2570,1,1,26027.41351
1,27515132,1079,1,1,26018.10557
1,27515149,2779,1,1,13.43687
1,27515206,187,1,1,26063.04994
1,27515235,1776,1,1,26027.04029
1,27515326,1865,1,1,26061.4138
1,27515394,202,1,1,26043.43788
1,27515397,2743,1,1,26018.15766
1,27515443,4821,1,1,26135.17913
1,27515472,3584,1,1,26054.28484
1,27515570,1539,1,1,26034.1344
1,27515751,192,1,1,21.63892
1,27515752,5271,1,1,26018.15225
1,27515820,5638,1,1,26027.64851
1,27515907,4967,1,1,13.50544
1,27515944,3760,1,1,26026.63543
1,27516017,192,1,1,26045.40461
1,27516044,132,1,1,26045.1255
1,27516169,4996,1,1,26036.40933
1,27516205,4885,1,1,26027.46294
1,27516228,7428,1,1,14.28244
1,27516427,1863,1,1,26027.05592
1,27516434,3051,1,1,26036.16896
1,27516483,512,1,1,26036.21461
1,27516490,6702,1,1,26027.08194
1,27516706,6632,1,1,26054.61845
1,27516793,3325,1,1,26027.28176
1,27516816,226,1,1,26034.62174
1,27517286,4996,1,1,26036.20196
1,27517466,164,1,1,26027.51278
1,27517522,830,1,1,26035.25322
1,27517554,6895,1,1,26016.41729
1,27517693,3462,1,1,6488.66245
1,27517694,5753,1,1,14.58137
1,27517985,7320,1,1,26027.37347
1,27518121,2455,1,1,26018.20525
