iter,program_id,not_filled,lower_cutoff,upper_cutoff
2,151,FALSE,1,1.00377
2,153,FALSE,1.12884,1.12911
2,154,FALSE,5.07595,1.09233
2,155,FALSE,7.09021,1.00767
2,156,FALSE,1.14246,1.05809
2,157,FALSE,1.14614,1.00232
2,158,FALSE,3.12365,1.02662
2,159,FALSE,3.0686,1.09369
2,160,FALSE,3.09459,1.06587
2,161,FALSE,3.10006,1.05975
2,162,FALSE,4.14094,4.13876
2,164,FALSE,7.10906,1.01174
2,165,FALSE,1.12931,5.0561
2,166,FALSE,5.02243,5.03951
2,167,FALSE,1.03149,1.04713
2,168,FALSE,1,5.0522
2,169,FALSE,5.01237,5.0671
2,173,FALSE,4.05137,1.09612
2,175,FALSE,1.07592,1.0711
2,176,FALSE,1.0991,1.10103
2,177,FALSE,5.13765,1.10239
2,178,FALSE,6.14563,4.00519
2,179,FALSE,5.14151,1.14391
2,180,FALSE,5.05161,2.02728
2,181,FALSE,5.07892,3.08489
2,182,FALSE,5.04059,1.1236
2,183,FALSE,5.12795,1.08023
2,184,FALSE,7.06888,1.13409
2,185,FALSE,5.09547,1.1216
2,186,FALSE,7.02996,1.11083
2,188,FALSE,7.0239,1.01107
2,189,FALSE,6.08965,4.11468
2,190,FALSE,3.09882,1.09659
2,191,FALSE,5.12607,1.10955
2,192,FALSE,5.03709,1.12907
2,193,FALSE,5.09892,6.11784
2,194,FALSE,5.02409,1.11947
2,195,FALSE,3.11042,1.08666
2,197,FALSE,5.11803,1.01586
2,198,FALSE,5.00507,1.13826
2,199,FALSE,4.13773,1.13315
2,200,FALSE,1.13756,1.10571
2,201,FALSE,1.14019,1.09974
2,202,FALSE,7.10613,7.07155
2,203,FALSE,5.13082,4.04714
2,204,FALSE,5.10072,1.09095
2,206,FALSE,5.00434,1.00272
2,207,FALSE,3.10315,1.0891
2,208,FALSE,1.10079,1.04063
2,209,FALSE,3.05585,3.02572
2,210,FALSE,3.12121,3.08907
2,211,FALSE,3.01363,3.04588
2,212,FALSE,1.14126,1.08624
2,213,FALSE,3.10728,1.11897
2,216,FALSE,6.04118,1.10666
2,217,FALSE,4.00925,1.13136
2,218,FALSE,5.1419,1.10636
2,219,FALSE,5.14202,1.14714
2,222,FALSE,3.09874,1.07342
2,225,FALSE,3.12282,4.04437
2,226,FALSE,5.10156,1.09538
2,227,FALSE,7.09259,4.14014
2,229,FALSE,4.09685,3.10286
2,230,FALSE,3.09011,3.06282
2,233,FALSE,5.13526,1.009
2,234,FALSE,3.00934,3.10916
2,235,FALSE,5.07642,3.07868
2,236,FALSE,1.10398,1.05385
2,237,FALSE,1.0882,1.04866
2,242,FALSE,4.08113,1.01203
2,243,FALSE,1.12404,1.07348
2,251,FALSE,4.08824,4.04625
2,252,FALSE,3.1458,1.10751
2,253,FALSE,5.05252,1.00101
2,254,FALSE,1.14629,1.01934
2,255,FALSE,3.00208,1.04766
2,256,FALSE,5.1371,1.02134
2,257,FALSE,5.05138,1.0366
2,258,FALSE,3.1185,1.02753
2,259,FALSE,1.13728,1.05195
2,260,FALSE,1.07596,1.08365
2,262,FALSE,6.13383,1.01235
2,263,FALSE,1.14243,1.01918
2,264,FALSE,4.07449,1.11152
2,265,FALSE,1.13106,1.12639
2,270,FALSE,1.14378,3.02446
2,271,FALSE,3.14217,1.11256
2,272,FALSE,1.13528,1.09761
2,273,FALSE,1.12679,1.12243
2,274,FALSE,1.12023,1.08728
2,275,FALSE,1.13474,3.03742
2,280,FALSE,1.14532,1.02596
2,289,FALSE,4.02072,1.09216
2,290,FALSE,1.13907,1.09475
2,291,FALSE,1.14484,1.1474
2,292,FALSE,1.13098,1.06326
2,293,FALSE,5.14165,5.00295
2,294,FALSE,5.06116,5.00032
2,295,FALSE,6.05412,5.0122
2,296,FALSE,1.08653,5.04805
2,297,FALSE,5.10685,1.11764
2,298,FALSE,5.13764,1.02541
2,299,FALSE,4.0833,1.0887
2,300,FALSE,5.10815,1.05328
2,301,FALSE,3.13109,1.07035
2,302,FALSE,5.1113,1.04949
2,303,FALSE,3.14345,3.09643
2,308,FALSE,6.14428,1.00212
2,317,FALSE,5.06359,1.00359
2,318,FALSE,6.05221,1.10718
2,319,FALSE,5.14088,1.07252
2,320,FALSE,5.01913,1.0735
2,321,FALSE,4.06905,1.02865
2,322,FALSE,3.03138,1.01933
2,323,FALSE,3.03023,1.04027
2,324,FALSE,3.02592,1.03424
2,325,FALSE,5.00521,1.05011
2,326,FALSE,3.02765,1.04068
2,328,FALSE,5.11196,1.08259
2,329,FALSE,6.09747,1.12897
2,330,FALSE,5.13285,1.09174
2,331,FALSE,5.09309,1.06438
2,332,FALSE,5.12733,1.12577
2,333,FALSE,5.12872,3.14553
2,334,FALSE,1.10314,1.10288
2,335,FALSE,5.04983,1.07426
2,336,FALSE,5.14075,1.04054
2,337,FALSE,5.13822,1.13091
2,339,FALSE,5.08514,1.07304
2,340,TRUE,1.02213,1
2,341,TRUE,5.10117,1
2,342,FALSE,1.08077,6.03054
2,343,TRUE,1,1
2,346,FALSE,5.08091,1.07159
2,347,FALSE,6.13639,1.12984
2,348,FALSE,5.04518,1.11118
2,349,FALSE,5.05968,1.00847
2,350,FALSE,4.05158,1.13243
2,351,FALSE,5.00837,1.13303
2,352,FALSE,4.01654,1.05823
2,353,FALSE,7.078,4.00665
2,354,FALSE,5.02463,4.12647
2,355,FALSE,3.13761,1.07355
2,357,FALSE,4.13476,1.05718
2,358,FALSE,3.0095,1.06489
2,359,FALSE,3.06455,1.11686
2,361,FALSE,5.11008,1.09067
2,363,FALSE,5.07907,5.0812
2,364,FALSE,5.08484,5.11178
2,365,FALSE,3.02396,1.04456
2,366,FALSE,1.1261,1.14403
2,367,FALSE,5.14515,5.0687
2,370,FALSE,3.12925,1.10656
2,371,FALSE,3.05778,1.11816
2,372,FALSE,6.06068,1.14696
2,373,FALSE,1.14394,1.10287
2,374,FALSE,7.13567,1.00163
2,375,FALSE,1.14423,1.03409
2,376,FALSE,1.05054,1.13234
2,377,FALSE,1.07293,1.03552
2,378,FALSE,3.12228,3.10604
2,379,FALSE,1.06125,3.01771
2,380,FALSE,3.05431,4.08616
2,381,FALSE,1.08792,1.05419
2,383,FALSE,5.13681,1.08502
2,384,FALSE,5.11757,1.14455
2,385,FALSE,5.10277,1.00857
2,386,FALSE,5.0422,1.02093
2,387,FALSE,4.01197,1.00719
2,388,FALSE,1.14332,1.00105
2,389,FALSE,2.13359,1.09048
2,390,FALSE,2.14147,1.05117
2,391,FALSE,3.06453,1.00936
2,394,FALSE,5.10119,1.02698
